text,service_type,sentiment
Facing frequent issues with the 5G Service.,Service Activation,Negative
The Fiber Broadband is unreliable.,Broadband Service,Negative
The Mobile Network is very slow.,Mobile Network,Negative
The Customer Support performance is terrible.,Customer Support,Negative
Bad experience with the Mobile Network.,Mobile Network,Negative
Extremely disappointed with the Customer Support.,Customer Support,Negative
The Mobile Network is unreliable.,Mobile Network,Negative
The Billing is very slow.,Billing & Payments,Negative
Facing frequent issues with the Mobile Network.,Mobile Network,Negative
Extremely disappointed with the Billing.,Billing & Payments,Negative
The Billing coverage is poor in my area.,Billing & Payments,Negative
The Fiber Broadband keeps disconnecting.,Broadband Service,Negative
Bad experience with the 5G Service.,Service Activation,Negative
The Fiber Broadband keeps disconnecting.,Broadband Service,Negative
The Fiber Broadband keeps disconnecting.,Broadband Service,Negative
The Customer Support is unreliable.,Customer Support,Negative
Customer service regarding 5G Service is frustrating.,Service Activation,Negative
The Customer Support is very slow.,Customer Support,Negative
Facing frequent issues with the Mobile Network.,Mobile Network,Negative
The Mobile Network is unreliable.,Mobile Network,Negative
The 5G Service performance is terrible.,Service Activation,Negative
Customer service regarding Customer Support is frustrating.,Customer Support,Negative
The Billing coverage is poor in my area.,Billing & Payments,Negative
The 5G Service performance is terrible.,Service Activation,Negative
The Billing performance is terrible.,Billing & Payments,Negative
Bad experience with the Fiber Broadband.,Broadband Service,Negative
The 5G Service is unreliable.,Service Activation,Negative
Extremely disappointed with the 5G Service.,Service Activation,Negative
The 5G Service quality is unacceptable.,Service Activation,Negative
The Billing is unreliable.,Billing & Payments,Negative
The Fiber Broadband keeps disconnecting.,Broadband Service,Negative
Bad experience with the Customer Support.,Customer Support,Negative
The Fiber Broadband quality is unacceptable.,Broadband Service,Negative
Extremely disappointed with the Billing.,Billing & Payments,Negative
Facing frequent issues with the Customer Support.,Customer Support,Negative
The Mobile Network keeps disconnecting.,Mobile Network,Negative
Bad experience with the Mobile Network.,Mobile Network,Negative
The Customer Support is unreliable.,Customer Support,Negative
Bad experience with the Mobile Network.,Mobile Network,Negative
The Mobile Network quality is unacceptable.,Mobile Network,Negative
The Fiber Broadband keeps disconnecting.,Broadband Service,Negative
The Fiber Broadband is very slow.,Broadband Service,Negative
The 5G Service coverage is poor in my area.,Service Activation,Negative
The Customer Support keeps disconnecting.,Customer Support,Negative
Extremely disappointed with the Customer Support.,Customer Support,Negative
The Billing keeps disconnecting.,Billing & Payments,Negative
Customer service regarding Customer Support is frustrating.,Customer Support,Negative
Extremely disappointed with the Fiber Broadband.,Broadband Service,Negative
The Billing is unreliable.,Billing & Payments,Negative
The Customer Support is very slow.,Customer Support,Negative
Customer service regarding Billing is frustrating.,Billing & Payments,Negative
Extremely disappointed with the Fiber Broadband.,Broadband Service,Negative
Customer service regarding 5G Service is frustrating.,Service Activation,Negative
Bad experience with the Billing.,Billing & Payments,Negative
The Fiber Broadband keeps disconnecting.,Broadband Service,Negative
Extremely disappointed with the Mobile Network.,Mobile Network,Negative
The Customer Support is very slow.,Customer Support,Negative
The Mobile Network is very slow.,Mobile Network,Negative
The Mobile Network coverage is poor in my area.,Mobile Network,Negative
The Customer Support is very slow.,Customer Support,Negative
The Mobile Network performance is terrible.,Mobile Network,Negative
Customer service regarding Fiber Broadband is frustrating.,Broadband Service,Negative
The Billing is very slow.,Billing & Payments,Negative
The Billing coverage is poor in my area.,Billing & Payments,Negative
Bad experience with the 5G Service.,Service Activation,Negative
The Fiber Broadband performance is terrible.,Broadband Service,Negative
The 5G Service is very slow.,Service Activation,Negative
The Customer Support keeps disconnecting.,Customer Support,Negative
Customer service regarding Customer Support is frustrating.,Customer Support,Negative
The Mobile Network is unreliable.,Mobile Network,Negative
The Billing quality is unacceptable.,Billing & Payments,Negative
The Billing is unreliable.,Billing & Payments,Negative
The Billing is very slow.,Billing & Payments,Negative
The 5G Service is very slow.,Service Activation,Negative
The 5G Service keeps disconnecting.,Service Activation,Negative
Customer service regarding Mobile Network is frustrating.,Mobile Network,Negative
The 5G Service keeps disconnecting.,Service Activation,Negative
The Customer Support keeps disconnecting.,Customer Support,Negative
Facing frequent issues with the Billing.,Billing & Payments,Negative
The Billing is unreliable.,Billing & Payments,Negative
The 5G Service is very slow.,Service Activation,Negative
Customer service regarding 5G Service is frustrating.,Service Activation,Negative
Bad experience with the Fiber Broadband.,Broadband Service,Negative
The 5G Service is unreliable.,Service Activation,Negative
The Billing is very slow.,Billing & Payments,Negative
The 5G Service keeps disconnecting.,Service Activation,Negative
The 5G Service is unreliable.,Service Activation,Negative
The Mobile Network is very slow.,Mobile Network,Negative
Facing frequent issues with the Fiber Broadband.,Broadband Service,Negative
The 5G Service coverage is poor in my area.,Service Activation,Negative
The Billing keeps disconnecting.,Billing & Payments,Negative
The 5G Service quality is unacceptable.,Service Activation,Negative
The Mobile Network is very slow.,Mobile Network,Negative
Customer service regarding Customer Support is frustrating.,Customer Support,Negative
Customer service regarding Customer Support is frustrating.,Customer Support,Negative
The Billing performance is terrible.,Billing & Payments,Negative
The Billing is unreliable.,Billing & Payments,Negative
Extremely disappointed with the Mobile Network.,Mobile Network,Negative
Bad experience with the Fiber Broadband.,Broadband Service,Negative
The Fiber Broadband coverage is poor in my area.,Broadband Service,Negative
The Mobile Network performance is terrible.,Mobile Network,Negative
The 5G Service coverage is poor in my area.,Service Activation,Negative
The Customer Support performance is terrible.,Customer Support,Negative
The Mobile Network quality is unacceptable.,Mobile Network,Negative
The Billing coverage is poor in my area.,Billing & Payments,Negative
The Fiber Broadband performance is terrible.,Broadband Service,Negative
Facing frequent issues with the 5G Service.,Service Activation,Negative
Extremely disappointed with the Fiber Broadband.,Broadband Service,Negative
The Fiber Broadband coverage is poor in my area.,Broadband Service,Negative
Extremely disappointed with the Billing.,Billing & Payments,Negative
Customer service regarding Fiber Broadband is frustrating.,Broadband Service,Negative
The Mobile Network coverage is poor in my area.,Mobile Network,Negative
The Fiber Broadband is unreliable.,Broadband Service,Negative
The 5G Service performance is terrible.,Service Activation,Negative
Facing frequent issues with the Billing.,Billing & Payments,Negative
The Fiber Broadband performance is terrible.,Broadband Service,Negative
The Mobile Network is very slow.,Mobile Network,Negative
Extremely disappointed with the Customer Support.,Customer Support,Negative
The Billing keeps disconnecting.,Billing & Payments,Negative
The Billing performance is terrible.,Billing & Payments,Negative
Extremely disappointed with the Billing.,Billing & Payments,Negative
The Mobile Network quality is unacceptable.,Mobile Network,Negative
Bad experience with the Fiber Broadband.,Broadband Service,Negative
The 5G Service keeps disconnecting.,Service Activation,Negative
The Mobile Network performance is terrible.,Mobile Network,Negative
Customer service regarding Billing is frustrating.,Billing & Payments,Negative
The Customer Support keeps disconnecting.,Customer Support,Negative
The 5G Service quality is unacceptable.,Service Activation,Negative
Facing frequent issues with the Mobile Network.,Mobile Network,Negative
The Fiber Broadband coverage is poor in my area.,Broadband Service,Negative
Customer service regarding Customer Support is frustrating.,Customer Support,Negative
Customer service regarding Fiber Broadband is frustrating.,Broadband Service,Negative
Facing frequent issues with the Mobile Network.,Mobile Network,Negative
The Customer Support is unreliable.,Customer Support,Negative
The Customer Support quality is unacceptable.,Customer Support,Negative
